Artiest;Song;Jaartal;Groep
Roxanne Shanté;Pay Back;1987;34
Whodini;Whodini NYC;1987;34
Harmony;Dance to the Drums;1987;34
Age of Chance;We Got Trouble;1987;34
The Dynamic MC's;I Feel Dynamic;1987;34
Longsy D and Cut Master M.C.;To the Rhythm;1987;34
Public Enemy;Miuzi Weighs a Ton;1987;34
Bomb the Bass;Beat Dis (UK Extended Dis) ;1988;34
Mix Master Spade and Compton Posse;Genius Is Back;1988;34
Masters of Ceremony;Rock Steady;1988;34
EPMD;I'm Housin';1988;34
Public Enemy;Night of the Living Baseheads;1988;34
Kid 'N Play;Gittin' Funky (UK Remix);1988;34
M C K-Cold and DJ Rock D;Yellow Hammer;1988;34
Wee Papa Girl Rappers;Faith;1988;34
Kooley C;Are You Ready;1988;34
Domination feat. Ice-T;You Haven't Heard Nothing;1988;34
Simon Harris;Fx & Scratches (Vol. 2);1988;34
DJ Slice and Kool Rock Jay;Just Chillin' ;1988;34
Floormaster Squeeze;Kick Out the James (Hot Plate 1) ;1988;34
Kool Rock Jay and DJ Slice;Just Chillin' ;1989;34
Home Boys Only;Turn It Out;1989;34
Wreckx-N-Effect;Rock Steady;1989;34
Kaos & Mystro;Timeless Insight of Kaos;1989;34
T La Rock;I'm Doing Damage;1989;34
Richie Rich;Let the Music Hypnotise You;1989;34
Meat Beat Manifesto;Cutman;1990;34
Pop Will Eat Itself;Dr. Nightmare's Medication Time;1990;34
Professor Griff;1-900 Ste Oreo Type;1990;34
Homicide;Street Poems;1990;34
Total Devastation;Coming Up Hard;1990;34
Robbie B and DJ Jazz;We Can Do a Little Bit;1990;34
Public Enemy;Shut 'Em Down;1991;34
A Tribe Called Quest feat. Lord Jamar, Sadat X and Diamond D;Show Business;1991;34
Tony D;Check the Elevation;1991;34
South Central Cartel;Ya Getz Clowned;1991;34
Sway & King Tech;Rock Steady;1991;34
K-9 Posse;A Steady Flow;1991;34
Dope Posse;Rhythm With Madness;1991;34
Nikki D;Daddy's Little Girl (Alternate Mix);1991;34
AW1;Raised Like a Pitbull;1991;34
Dr. Dre;Rat-Tat-Tat-Tat;1992;34
Kid Unknown;Nightmare;1992;34
Bobby Brown;Humpin' Around;1992;34
Destiny Children;Movin On'Em;1992;34
 J.V.C. F.O.R.C.E.;6 Feet Back on the Map;1992;34
